Organisation,URL,Organisation type,Portal,Region,Lat,Lon
Queensland Government,https://data.qld.gov.au,State Government,CKAN,Queensland,-22.486944,144.431667
Queensland University of Technology,https://researchdatafinder.qut.edu.au,Research,unknown,Queensland,-27.476803,153.027819
Brisbane City Council,https://data.brisbane.qld.gov.au,Local Government,CKAN,Queensland,-27.468927,153.023499
Gold Coast City Council,http://data.gov.au/organization/city-of-gold-coast,Local Government,CKAN,Queensland,-28.002076,153.416531
Logan City Council,http://data.logancity.opendata.arcgis.com/,Local Government,ArcGIS Open Data,Queensland,-27.642996,153.103997
Logan City Council,http://data.gov.au/organization/logan-city-council,Local Government,CKAN,Queensland,-27.642996,153.103997
Moreton Bay Regional Council,http://data.moretonbay.qld.gov.au,Local Government,ArcGIS Open Data,Queensland,-27.083513,152.951173
Noosa Council,http://data.gov.au/organization/noosa-shire-council,Local Government,CKAN,Queensland,-26.392297,153.040615
Rockhampton Regional Council,http://localdata.net.au/organization/rockhampton-regional-council,Local Government,CKAN,Queensland,-23.382026,150.513961
Sunshine Coast Council,https://data.sunshinecoast.qld.gov.au,Local Government,Socrata,Queensland,-26.65481,153.093152
Australian Data Archive,https://www.ada.edu.au,University Consortium,unknown,National,-35.286008,149.116913
Australian Nation Data Service,http://ands.org.au,Research,unknown,National,-35.285248,149.117894
ODI Queensland,http://opendata.odiqueensland.org.au/,Not For Profit,ArcGIS Open Data,National,-27.46257,153.028367
CSIRO,https://data.csiro.au/dap,Australian Government,unknown,National,-23.033333,133.416667
The Atlas of Living Australia,http://www.ala.org.au,Australian Government,unknown,National,-23.033333,133.416667
Australian Government,http://data.gov.au,Australian Government,CKAN,National,-23.033333,133.416667
Australian Institute of Health and Welfare,http://www.aihw.gov.au/data/,Australian Government,unknown,National,-23.033333,133.416667
National Library of Australia,http://trove.nla.gov.au,Australian Government,unknown,National,-23.033333,133.416667
Australian Bureau of Statistics,http://www.abs.gov.au/ausstats,Australian Government,unknown,National,-23.033333,133.416667
Australian Antarctic Data Centre,https://data.aad.gov.au,Australian Government,unknown,Antarctic,-23.033333,133.416667
Australian Capital Territory Government,https://www.data.act.gov.au,Territory Government,Socrata,Australian Capital Territory,-35.283577,149.131952
New South Wales Government,http://data.nsw.gov.au,State Government,CKAN,New South Wales,-32.163333,147.016667
Mosman Municipal Council,http://data.gov.au/organization/mosmanmunicipalcouncil,Local Government,CKAN,New South Wales,-33.825122,151.241387
Government of South Australia,https://www.data.sa.gov.au,State Government,CKAN,South Australia,-30.058333,135.763333
eResearch South Australia,https://data.sa.edu.au/,Research,CKAN,South Australia,-30.058333,135.763333
Local Government Association of South Australia,http://data.sa.gov.au/data/organization/local-government-association-of-sa,Local Government Representative Body,CKAN,South Australia,-30.058333,135.763333
Adelaide City Council,http://data.sa.gov.au/data/organization/adelaide-city-council,Local Government,CKAN,South Australia,-34.926127,138.600111
